studentID,grade,serviceID,courseDescription,subject,ap,dualCredit,g/t,honors,onRamps,courseCredits,creditsEarned,creditsFailed
1,10,,LIAISON,MSC,N,N,N,N,N,0,0,0
1,11,13009900,CTE PROFESSIONAL COMMUNICATION,CTE,N,N,N,N,N,1,1,0
1,10,3440200,FL SPANISH 2,LOT,N,N,N,N,N,1,1,0
1,11,13037100,CTE PRIN TECH,CTE,N,N,N,N,N,1,1,0
1,11,3100600,ALGEBRA 2,AG2,N,N,N,N,N,1,1,0
1,9,PES00000,ATH GOLF-SUBATH1,HLP,N,N,N,N,N,1,1,0
2,11,13008800,CTE GRAPHIC DESIGN & ILLUST I ,CTE,N,N,N,N,N,1,1,0
2,10,3250100,THEATRE 1,FA,N,N,N,N,N,1,1,0
2,12,13011400,BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
2,10,3440200,SPANISH 2,SPA,N,N,N,N,N,1,1,0
2,12,3370100,SOC ST SOCIOLOGY,SOC,N,N,N,N,N,1,1,0
2,12,3221820,IND STDY/TX COLL BRIDGE ELA SF,ELA,N,N,N,N,N,1,1,0
3,12,13029500,CTE FORENSIC SCIENCE,CTE,N,N,N,N,N,1,1,0
3,11,PES00000,ATH B SOCCER -SUBATH1,HLP,N,N,N,N,N,1,1,0
3,11,13008600,CTE AUDIO/VIDEO PROD II LAB,CTE,N,N,N,N,N,1,1,0
4,9,3100500,MATH ALGEBRA 1 P-AP H,MTH,N,N,N,Y,N,1,1,0
4,11,3100600,MATH ALGEBRA 2,MTH,N,N,N,N,N,1,1,0
4,12,3810100,HEALTH EDUCATION,HLP,N,N,N,N,N,1,1,0
4,10,A3440100,FL SPAN LANG & COMP AP H,LOT,N,N,N,Y,N,1,1,0
4,9,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
4,11,3241400,SPEECH COMM APPL,ELA,N,N,N,N,N,1,1,0
5,10,84000502,ST ASST PREP ENG WRTG 2LC,MSC,N,N,N,N,N,1,1,0
5,12,84000501,STATE ASST PREP ENG WRITING LC,MSC,N,N,N,N,N,1,1,0
5,10,3220200,ENGLISH 2 ADV H,ENG,N,N,N,Y,N,1,1,0
5,9,3100700,MATH GEOM P-AP H,GMT,N,N,N,N,N,1,1,0
5,9,3010200,SCIENCE BIOLOGY,BIO,N,N,N,N,N,1,1,0
5,9,3340400,SOC ST WORLD HISTORY,WHI,N,N,N,N,N,1,1,0
5,12,CP111200,COLLEGE PREPARATORY MATH,,N,N,N,N,N,1,1,0
6,10,A3370100,WORLD HISTORY AP H,WHI,Y,N,N,N,N,1,1,0
6,10,3100600,ALGEBRA 2,AG2,N,N,N,N,N,1,1,0
6,11,A3220100,Eng 3 Lang & Comp AP H,ELA,Y,N,N,N,N,1,1,0
6,9,13011400,CTE BIM 1,CTE,N,N,N,N,N,1,1,0
6,11,3220300,ENGLISH 3 MTI,SE,N,N,N,N,N,1,1,0
6,10,3040000,CHEMISTRY OR H,CHM,N,N,N,Y,Y,1,1,0
7,10,3220200,ENGLISH 2 EL,ENG,N,N,N,N,N,1,1,0
7,11,84200502,ATH ATHLETICS LC,HLP,N,N,N,N,N,1,1,0
7,12,CP110100   ,COLLEGE PREPARATORY ELA,ELA,N,N,N,N,N,1,1,0
7,10,13036500,CTE ENG DESIGN & PRES 1,CTE,N,N,N,N,N,1,1,0
8,10,3501300,ART DRAWING 3,FA,N,N,N,N,N,1,1,0
8,12,PES00055,PE TEAM SPORTS 1 DT,HLP,N,N,N,N,N,1,1,0
8,10,3100700,MATH GEOMETRY,GMT,N,N,N,N,N,1,1,0
8,12,3220400,ENGLISH 4 CT,ELA,N,N,N,N,N,1,1,0
8,12,3151200,CHOIR TENOR/BASS 4,FA,N,N,N,N,N,1,1,0
9,10,3100700,MATH GEOM P-AP H,MTH,N,N,N,Y,N,1,1,0
9,10,13011400,BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
9,12,3060100,SCIENCE ASTRONOMY,AST,N,N,N,N,N,1,1,0
9,10,3250100,THEATRE 1,THE,N,N,N,N,N,1,0.5,0.5
9,10,3100700,GEOMETRY,GMT,N,N,N,N,N,1,0,1
10,12,3101100,MATH PRECALCULUS H,PCA,N,N,N,Y,N,1,1,0
10,11,3150300,BAND HONOR 3,FA,N,N,N,N,N,1,1,0
10,11,3100600,MATH ALGEBRA 2,MTH,N,N,N,N,N,1,0,1
10,10,PES00052,PE 1A FPF,HLP,N,N,N,N,N,1,1,0
11,10,A3440100,SPANISH LANG & COMP AP H,SPA,Y,N,N,N,N,1,1,0
11,9,3100500,ALGEBRA 1,AG1,N,N,N,N,N,1,1,0
11,12,PES00003,ATH GR SOCCER SUBATH4,HLP,N,N,N,N,N,1,1,0
11,9,SR000003   ,HOMEROOM,MSC,N,N,N,N,N,1,1,0
11,10,3100700,MATH GEOMETRY,GMT,N,N,N,N,N,1,1,0
11,11,A3100101,CALCULUS AB AP H,CLA,Y,N,N,N,N,1,1,0
12,9,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
12,11,PES00002,ATH VAR FOOTBALL  SUBATH3,HLP,N,N,N,N,N,1,1,0
12,9,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
12,9,PES00055,PE IND SPORTS 1,HLP,N,N,N,N,N,1,1,0
12,9,3343100,SOCIAL STUDIES 8,SS8,N,N,N,N,N,1,1,0
12,12,13034805,CTE PRACTICUM MKTG DYN 1,CTE,N,N,N,N,N,1,1,0
12,10,3010200,SCIENCE BIOLOGY SF,SCI,N,N,N,N,N,1,1,0
13,10,13024300,CTE DOLLARS & SENSE,CTE,N,N,N,N,N,1,1,0
13,11,3350100,PSYCHOLOGY DC H,PSY,N,Y,N,Y,N,1,1,0
13,9,3100500,MATH ALGEBRA 1,AG1,N,N,N,N,N,1,1,0
13,9,3010200,BIOLOGY ADV H,BIO,N,N,N,N,N,1,1,0
14,10,13011400,BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
14,12,3221820,IND STDY/TX COLL BRIDGE ELA,ELA,N,N,N,N,N,1,1,0
14,9,3010200,SCIENCE BIOLOGY,SCI,N,N,N,N,N,1,1,0
14,10,3220200,ENGLISH 2,ELA,N,N,N,N,N,1,1,0
14,9,PES00000,ATH FOOTBALL - SUBATH1,HLP,N,N,N,N,N,1,1,0
15,10,3040000,CHEMISTRY,CHM,N,N,N,N,N,1,1,0
15,10,13005100,CONSTRUCTION TECHNOLOGY I,CTE,N,N,N,N,N,1,1,0
15,11,3340100,US HISTORY OR H,UHI,N,N,N,Y,Y,1,1,0
16,12,13025000,CTE PRAC IN HUMAN SERV I-COS,CTE,N,N,N,N,N,1,1,0
16,11,A3220100,ENGLISH LANGUAGE & COMP AP,ENG,Y,N,N,N,N,1,1,0
16,12,13011400,CTE BUSINESS INFO MGMT I,CTE,N,N,N,N,N,1,1,0
16,9,84200502,ATH ATHLETICS LC,HLP,N,N,N,N,N,1,1,0
17,12,A3100200,MATH STAT AP H,STA,Y,N,N,N,N,1,1,0
17,10,3040000,SCIENCE CHEMISTRY,CHM,N,N,N,N,N,1,1,0
17,12,13030100,CTE PRAC LAW, PUBLIC SAFETY,N,N,N,N,N,1,0,1
17,12,3330100,SOC ST US GOV DC H,SOC,N,Y,N,Y,N,1,1,0
18,11,3101100,PRECALCULUS GT H,PCA,N,N,Y,Y,N,1,1,0
18,9,13022550,CTE INTRODUCTION CULINARY ARTS,CTE,N,N,N,N,N,1,1,0
18,11,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
18,12,85000XXX,OFFICE ATTEND 1S,MSC,N,N,N,N,N,1,1,0
18,11,N1290050   ,COLLEGE TRANSITION,,N,N,N,N,N,1,1,0
19,10,3010200,SCIENCE BIOLOGY,BIO,N,N,N,N,N,1,1,0
19,11,A3040000,CHEMISTRY AP H,CHM,Y,N,N,N,N,1,1,0
19,12,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
19,11,13037100,CTE PRIN TECH,CTE,N,N,N,N,N,1,1,0
19,12,A3100101,MATH CALCULUS AB AP H,PCA,Y,N,N,N,N,1,1,0
20,10,3440330,FL SPANISH/SPAN SPKRS 3 H,LOT,N,N,N,Y,N,1,0,1
20,9,3320100,SOC ST WORLD GEOG,SOC,N,N,N,N,N,1,1,0
20,10,3440200,FL SPANISH 2,SPA,N,N,N,N,N,1,1,0
20,9,3010200,SCIENCE BIOLOGY P-AP H,BIO,N,N,N,N,N,1,1,0
21,12,SR000003,ADVISORY,MSC,N,N,N,N,N,1,1,0
22,9,3010200,SCIENCE BIOLOGY,SCI,N,N,N,N,N,1,1,0
22,12,SR000003,ADVISORY,MSC,N,N,N,N,N,0,0,0
22,12,3310300,ECONOMICS,ECO,N,N,N,N,N,1,1,0
22,9,3440100,FL SPANISH 1,LOT,N,N,N,N,N,1,1,0
22,11,13024300,CTE DOLLARS & SENSE,CTE,N,N,N,N,N,1,1,0
23,9,PES00000,ATH FOOTBALL - SUBATH1,HLP,N,N,N,N,N,1,1,0
23,11,A3050003,SCIENCE PHYSICS 1 AP H,SCI,N,N,N,Y,N,1,1,0
23,11,13020600,ANATOMY & PHYSIOLOGY H,CTE,N,N,N,Y,N,1,1,0
23,11,3100600,MATH ALGEBRA 2,MTH,N,N,N,N,N,1,1,0
23,9,3220100,ENGLISH 1 PRE-AP ,ENG,N,N,N,N,N,1,1,0
23,10,3340100,US HISTORY OR H,UHI,N,N,N,Y,Y,1,1,0
24,11,3100600,MATH ALGEBRA 2,MTH,N,N,N,N,N,1,1,0
24,10,3040000,CHEMISTRY ADV H,CHM,N,N,N,Y,N,1,1,0
24,10,3340100,US HISTORY DC H,UHI,N,Y,N,Y,N,1,1,0
24,9,3340400,SOC ST WORLD HISTORY,WHI,N,N,N,N,N,1,1,0
25,10,3340100,SOC ST US HISTORY,UHI,N,N,N,N,N,1,1,0
25,12,84200502,ATH ATHLETICS LC,HLP,N,N,N,N,N,1,1,0
25,10,3040000,SCIENCE CHEMISTRY P-AP H,CHM,N,N,N,Y,N,1,1,0
25,10,3220200,ENGLISH 2,ELA,N,N,N,N,N,1,1,0
25,12,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
26,12,13020600,CTE ANATOMY & PHYSOLOGY H,CTE,N,N,N,Y,N,1,1,0
26,12,A3220200,ENG LITERATURE & COMP AP H,ENG,Y,N,N,N,N,1,0.5,0.5
26,11,13027800,DIGITAL MEDIA,CTE,N,N,N,N,N,1,1,0
27,12,13020600,ANATOMY & PHYSIOLOGY H,CTE,N,N,N,Y,N,1,1,0
27,10,13004300,INTERIOR DESIGN I,CTE,N,N,N,N,N,1,1,0
27,10,3220200,ENGLISH 2,ENG,N,N,N,N,N,1,1,0
27,12,3330100,SOC ST US GOVERNMENT,SOC,N,N,N,N,N,1,1,0
27,12,A3150200,MUSIC THEORY AP,MUS,N,N,N,N,N,1,1,0
28,9,3220100,ENGLISH 1 ADV H,ENG,N,N,N,N,N,1,1,0
28,11,3230800,PHOTOJOURNALISM,JOU,N,N,N,N,N,1,1,0
28,12,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
28,12,3310300,SOC ST ECONOMICS,SOC,N,N,N,N,N,1,1,0
28,11,13011700,BUSINESS LAW,CTE,N,N,N,N,N,1,1,0
29,11,13039800,CTE COLLISION REPAIR,CTE,N,N,N,N,N,1,1,0
29,10,3100700,GEOMETRY,GMT,N,N,N,N,N,1,0.5,0.5
29,11,3100600,ALGEBRA 2,AG2,N,N,N,N,N,1,1,0
29,10,3810100,HEALTH EDUCATION,HLP,N,N,N,N,N,1,1,0
30,9,3340400,SOC ST WORLD HISTORY,SOC,N,N,N,N,N,1,1,0
30,11,13037100,PRINCIPLES OF TECHNOLOGY,CTE,N,N,N,N,N,1,1,0
30,10,3220200,ENGLISH 2 P-AP H,ELA,N,N,N,Y,N,1,1,0
30,9,PES00012,PE/BAND,HLP,N,N,N,N,N,1,1,0
31,10,13009300,CTE FASHION DESIGN 1,CTE,N,N,N,N,N,1,1,0
31,12,A3440100,SPANISH LANG & COMP AP H,SPA,Y,N,N,N,N,1,1,0
31,9,3320100,SOC ST WORLD GEOG P-AP H,WGE,N,N,N,Y,N,1,1,0
31,9,3150500,ORCH CONCERT 1,ORC,N,N,N,N,N,1,1,0
31,10,3440220,FL SPANISH FOR SPAN SPKRS 2,SPA,N,N,N,N,N,1,1,0
31,9,3150100,BAND CONCERT 1,BND,N,N,N,N,N,1,1,0
32,10,3220200,ENGLISH 2 P-AP H,ELA,N,N,N,Y,N,1,1,0
32,12,A3050004,SCIENCE PHYSICS 2 AP H,SCI,N,N,N,Y,N,1,1,0
32,9,3103100,MATH 8,MTH,N,N,N,N,N,1,1,0
32,11,PES00002,ATH VAR FOOTBALL  SUBATH3,HLP,N,N,N,N,N,1,1,0
32,9,3500100,ART 1 BASIC DESIGN,ART,N,N,N,N,N,1,1,0
33,11,3150300,BAND HONOR 3,FA,N,N,N,N,N,1,1,0
33,10,3010200,SCIENCE BIOLOGY SF,BIO,N,N,N,N,N,1,1,0
33,9,,EOC ELA 1,,N,N,N,N,N,0,0,0
33,11,3100600,MATH ALGEBRA 2,MTH,N,N,N,N,N,1,1,0
